"filename", "language", "XML", "C++", "LaTeX", "TeX", "Markdown", "JSON", "comment", "blank", "total"
"a:\Education\DIPLOMA_BAC\Diploma\Computing\Matrix.h", "C++", 0, 162, 0, 0, 0, 0, 5, 18, 185
"a:\Education\DIPLOMA_BAC\Diploma\Computing\ViewFactor.hpp", "C++", 0, 158, 0, 0, 0, 0, 0, 11, 169
"a:\Education\DIPLOMA_BAC\Diploma\CppProperties.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 23
"a:\Education\DIPLOMA_BAC\Diploma\Data.h", "C++", 0, 20, 0, 0, 0, 0, 1, 4, 25
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test23.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_0.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_1.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_2.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_3.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test24_4.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test25_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_100.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_102400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_12800.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_1600.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_25600.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_3200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_51200.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_6400.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test29_800.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test32.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test33.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test34.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test35_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test36_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_10.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_20.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_40.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test37_80.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_10.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_20.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_40.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test44_80.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 1, 20
"a:\Education\DIPLOMA_BAC\Diploma\Input_files\Test5.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\Education\DIPLOMA_BAC\Diploma\Main.cpp", "C++", 0, 54, 0, 0, 0, 0, 15, 13, 82
"a:\Education\DIPLOMA_BAC\Diploma\Parsing\XmlCodeToPropertyTree.hpp", "C++", 0, 78, 0, 0, 0, 0, 1, 6, 85
"a:\Education\DIPLOMA_BAC\Diploma\Report\README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 13, 44
"a:\Education\DIPLOMA_BAC\Diploma\Report\main.tex", "LaTeX", 0, 0, 704, 0, 0, 0, 15, 61, 780
"a:\Education\DIPLOMA_BAC\Diploma\Report\spbudiploma.sty", "TeX", 0, 0, 0, 60, 0, 0, 40, 16, 116
"a:\Education\DIPLOMA_BAC\Diploma\Report\spbudiploma_tempora.sty", "TeX", 0, 0, 0, 61, 0, 0, 41, 15, 117
"a:\Education\DIPLOMA_BAC\Diploma\Report\titlepage.tex", "LaTeX", 0, 0, 30, 0, 0, 0, 22, 12, 64
"a:\Education\DIPLOMA_BAC\Diploma\Segments\CompSegment.h", "C++", 0, 73, 0, 0, 0, 0, 0, 13, 86
"a:\Education\DIPLOMA_BAC\Diploma\Segments\Segment.h", "C++", 0, 33, 0, 0, 0, 0, 0, 9, 42
"a:\Education\DIPLOMA_BAC\Diploma\Segments\Surface.h", "C++", 0, 50, 0, 0, 0, 0, 4, 12, 66
"a:\Education\DIPLOMA_BAC\Diploma\Segments\UserSegment.h", "C++", 0, 134, 0, 0, 0, 0, 6, 21, 161
"a:\Education\DIPLOMA_BAC\Diploma\Structs\Point.h", "C++", 0, 23, 0, 0, 0, 0, 0, 5, 28
"a:\Education\DIPLOMA_BAC\Diploma\Structs\Vect.h", "C++", 0, 16, 0, 0, 0, 0, 0, 4, 20
"a:\Education\DIPLOMA_BAC\Diploma\Tests\FileFiller.h", "C++", 0, 14, 0, 0, 0, 0, 0, 4, 18
"a:\Education\DIPLOMA_BAC\Diploma\Tests\IncludeTests.h", "C++", 0, 13, 0, 0, 0, 0, 0, 2, 15
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test23.hpp", "C++", 0, 88, 0, 0, 0, 0, 7, 7, 102
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test24.hpp", "C++", 0, 89, 0, 0, 0, 0, 7, 8, 104
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test25.hpp", "C++", 0, 96, 0, 0, 0, 0, 8, 7, 111
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test29.hpp", "C++", 0, 91, 0, 0, 0, 0, 8, 7, 106
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test32.hpp", "C++", 0, 67, 0, 0, 0, 0, 7, 7, 81
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test33.hpp", "C++", 0, 67, 0, 0, 0, 0, 7, 7, 81
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test34.hpp", "C++", 0, 66, 0, 0, 0, 0, 7, 7, 80
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test35.hpp", "C++", 0, 98, 0, 0, 0, 0, 8, 8, 114
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test36.hpp", "C++", 0, 106, 0, 0, 0, 0, 8, 8, 122
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test37.hpp", "C++", 0, 96, 0, 0, 0, 0, 8, 8, 112
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test44.hpp", "C++", 0, 103, 0, 0, 0, 0, 8, 8, 119
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Test5.hpp", "C++", 0, 88, 0, 0, 0, 0, 3, 7, 98
"a:\Education\DIPLOMA_BAC\Diploma\Tests\TestExecuter.h", "C++", 0, 62, 0, 0, 0, 0, 3, 9, 74
"a:\Education\DIPLOMA_BAC\Diploma\Tests\Tests.h", "C++", 0, 13, 0, 0, 0, 0, 0, 2, 15
"a:\Education\DIPLOMA_BAC\Diploma\Tests\UnitTests.hpp", "C++", 0, 93, 0, 0, 0, 0, 0, 7, 100
"a:\Education\DIPLOMA_BAC\Diploma\dto\LinesToSegments.h", "C++", 0, 44, 0, 0, 0, 0, 0, 5, 49
"a:\Education\DIPLOMA_BAC\Diploma\dto\Surface.h", "C++", 0, 52, 0, 0, 0, 0, 4, 12, 68
"a:\Education\DIPLOMA_BAC\Diploma\dto\SurfaceToLines.h", "C++", 0, 48, 0, 0, 0, 0, 0, 3, 51
"a:\Education\DIPLOMA_BAC\Diploma\test.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 739, 2195, 734, 121, 31, 23, 243, 409, 4495